Name,career_high_point,earnings_2019,image_url,number_of_times_on_forbes_list_since_2017,profession,profile,source_of_income
Rohit Sharma,Five centuries in the 2019 World Cup,54.29,https://www.forbesindia.com/media/celeblist2019/big/011_Rohit Sharma.jpg,3,Cricketer,"Rohit Sharma hit a purple patch during the 2019 World Cup, scoring five centuries in the showpiece event. India's vice-captain emerged as the highest run scorer in the tournament, with 648 runs in nine matches at an impressive average of 81. He also made a comeback to the Test team during the home series against South Africa and scored two hundreds in the first Test. He followed that with a double hundred in the next game. Sharma also led the Mumbai Indians to their fourth IPL title in 2019. ","Films, Endorsements"
Ajay Devgn,"Won the National Film Awards for Best Actor twice, in 1998 and 2002",94,https://www.forbesindia.com/media/celeblist2019/big/012_Ajay Devgan.jpg,3,"Actor, Producer","Making his debut in 1991 with Phool Aur Kaante, Ajay Devgn instantly established himself as an action hero. While adding comedy to his portfolio made Devgn a dependable actor, the star has been the face of a slew of brands such as Whirlpool, Bagpiper and Hajmola. Devgn has also reportedly invested Rs 600 crore to open cinema theatres in smaller towns. Come January 2020, Devgn will complete a century when his forthcoming film Tanhaji: The Unsung Warrior releases.","Films, Endorsements"
Rajinikanth,"Known for his style, punch dialogues and on-screen presence, Rajinikanth became a pop culture icon following the hype surrounding his 2008 release Enthiran, which was dubbed in Hindi as Robot",100,https://www.forbesindia.com/media/celeblist2019/big/013_Rajanikant.jpg,2,Actor,"The 67-year-old actor, hailed as the 'Thalaiva' (leader) of Tamil cinema, has been a regular feature on the Forbes India Celebrity 100 lists since 2014. This year, he finds himself high up on the ranking at number 13, with estimated earnings of Rs 100 crore, just through his two consecutive blockbusters—S Shankar's 2. 0 [which was made at a whopping Rs 500 crore budget] and Karthik Subbaraj's Petta. ,                                 
                              
",Films
Priyanka Chopra Jonas,Priyanka Chopra Jonas won the National Film Award for Best Actress for the 2008 film Fashion,23.4,https://www.forbesindia.com/media/celeblist2019/big/014_Priyanka Chopra.jpg,3,Actor,"She was also the richest Indian celebrity on HopperHQ's Instagram Rich List 2019, charging a whopping $271,000 (approx. Rs 1.92 crore) for a sponsored post on her Instagram profile. The actor had one film release this year—Isn't It Romantic—in the time frame under consideration.","Films, Endorsements"
Aamir Khan,"Khan's first production, Lagaan, which he also starred in, was nominated for an Oscar",85,https://www.forbesindia.com/media/celeblist2019/big/015_Aamir Khan.jpg,3,Actor,"Aamir Khan did not have a single release in 2019, after his 2018 release Thugs of Hindostan tanked at the box office. But that did not stop the 54-year-old actor from raking in Rs 85 crore through the year. Khan will next be seen in Lal Singh Chadhha, a Hindi remake of the popular Tom Hanks movie, Forrest Gump. Meanwhile, Dangal (2016), which tells the story of a wrestler, was recently declared the blockbuster of the decade, by search engine and news portal Yahoo. ","Films, Endorsements"
AR Rahman,Won two Academy Awards in 2009 for the musical score for Slumdog Millionaire,94.8,https://www.forbesindia.com/media/celeblist2019/big/016_A R Rehman.jpg,3,Music composer / Singer,"Despite some celebrated music releases such as 2.0 in recent times, Rahman did not enjoy commercial success with some of his soundtracks and music compositions. His popularity, however, remains intact, backed by popular US and Canadian tours in 2018-19. ","Films, Concerts"
Pritam,"Won IIFA for Best Music Director, Ae Dil Hai Mushkil in 2017",97.78,https://www.forbesindia.com/media/celeblist2019/big/017_Pritam.jpg,2,Singer and Music Composer,"Pritam has seen a great year as a composer with hit songs like Ghar More Pardesiya for Kalank, and from live shows as well. He first debuted on the Celebrity 100 list in 2017, with total earnings of Rs 25.69 crore. The singer-composer has also founded a music incubation platform called Jam8 in 2016 for budding musicians. The team has composed some songs in films like Badhaai Ho. Pritam is currently working on the Ranbir Kapoor and Alia Bhatt-starrer Brahmastra and Ranveer Singh's 83-The Film. Pritam has also been a judge for reality TV shows, the latest one being Star Plus's Dil Hai Hindustani (2018). ","Films, TV, Concerts"
Hrithik Roshan,"The successful Koi...Mil Gaya trilogy, including sequels Krrish and Krrish 3",58.73,https://www.forbesindia.com/media/celeblist2019/big/018_Hrithi Roshan.jpg,3,Actor,"Hrithik Roshan's ranking went up from 41 last year to number 18 this year. He had one film release in the time frame under consideration—Super 30—which made over Rs 200 crore at the box office. The actor's earnings stood at an estimated Rs 58.73 crore up from Rs 19.56 crore last year. Besides his other endorsements, he was also signed by Tata Motors as a brand ambassador for Tata Tigor this year. He also scores fairly high on the social media quotient—the actor has 22.2 million followers on Instagram.","Films, Endorsements"
Amit Trivedi,National Award for Best Music Director for Dev.D in 2009,80.73,https://www.forbesindia.com/media/celeblist2019/big/019 Amit Trivedi.jpg,2,Singer and Music Composer,"The singer-composer who made his debut as a film composer in 2008 with Aamir, has come a long way. His music for Dev.D brought him into the limelight. This year, apart from the hit songs for Andhadhun's album, the 40-year-old has composed songs for eight other films including Helicopter Eela and Mission Mangal. ","Films, Concerts"
Vishal-Shekhar,Won the Filmfare RD Burman Award for New Music Talent for Jhankaar Beats,76.84,https://www.forbesindia.com/media/celeblist2019/big/020_Vishal Shekhar.jpg,2,Musicians,"Vishal Dadlani and Shekhar Ravjiani rose to fame with the 2003 film, Jhankaar Beats and its memorable album, including the song 'Tu Aashiqui Hai'. Vishal-Shekhar have cemented their place on the Forbes India Celebrity 100 list since 2012, and this year, with releases like Student of the Year 2 and Bharat, they have made into the top 20. Both men also appear as judges on music reality TV shows. ","Films, TV, Concerts"
Anushka Sharma,"PK, one of the highest grossing films she has worked in",28.67,https://www.forbesindia.com/media/celeblist2019/big/021_Anushka Sharma.jpg,3,Actor,"Anuskha Sharma's rank slipped from 16 in 2018 to 21 this year. The actor had only one release, Zero, this year, which was unable to recoup its budget at the box office. Her earnings were down from Rs 45.83 crore last year, to an estimated Rs 28.67 crore in our time frame this year. Sharma is brand ambassador for brands like Shyam Steel and Myntra along with cricketer-husband Virat Kohli, as well as the face of her own brand, Nush. ","Films, Endorsements"
Ajay-Atul,"Winning the National Film Award for Best Music Direction in 2008; becoming the first Indian music directors to record at Sony scoring studios in Hollywood, for Marathi movie Sairat",77.91,https://www.forbesindia.com/media/celeblist2019/big/022_Ajay Atul.jpg,1,Musicians,"Music composers and brothers, last seen on the Forbes India Celebrity 100 list in 2015 at 82, make a comeback in the Forbes India Celeb 100 list at No 22. The comeback was due to a bunch of live shows and singing playback in films including Thugs of Hindostan, Zero and Super 30. The duo also composed the theme song for Sony TV's Kaun Banega Crorepati, season 11.","Films, Concerts"
Katrina Kaif,"Rajneeti, which received critical acclaim",23.63,https://www.forbesindia.com/media/celeblist2019/big/023_Katrina Kaif.jpg,3,Actor,"Katrina Kaif's rank slipped from 21 last year to 23 this year. Her earnings went down from Rs 33.67 crore to an estimated Rs 23.63 crore. The actor starred in the blockbuster film Bharat besides Salman Khan and with  Shah Rukh Khan in Zero. She is also the face of several brands including Reebok, Tropicana, Lenskart, Metro Shoes and Oppo. ","Films, Endorsements"
Shankar-Ehsaan-Loy,Shankar Mahadevan was awarded the Padma Shri this year,76.48,https://www.forbesindia.com/media/celeblist2019/big/024_Shankar_Ehsaan-Loy.jpg,3,Musicians,"Since they got together in 1997 for the soundtrack of Dus, there's been no looking back for Shankar Mahadevan, Ehsaan Noorani and Loy Mendonsa. Amongst the most critically acclaimed Indian musicians, the trio has won numerous awards, including the National Award for for Mahadevan's contributions to Film Music under the category Arts. This year, their soundtracks for the movie The Zoya Factor were off the mark, but they were lauded for their work in Manikarnika: The Queen of Jhansi. ,                                
                              
","Films, Concerts"
Varun Dhawan,11 hits in a row since his debut in 2012,33,https://www.forbesindia.com/media/celeblist2019/big/025_Varun Dhawan.jpg,3,Actor,"The 'Student of the Year' star is one of the most consistent actors at the box-office, with eleven hits in a row since his debut in 2012, until Kalank this year. Dhawan has proved his mettle not only in comic roles but in also delivering credible performances in romantic and intense films, such as Humpty Sharma Ki Dulhania, Badlapur, October and Sui Dhaaga. The actor also happens to be a prolific face in advertising, endorsing brands such as Frooti, Lux Cozi and Navratna Cool. ","Films, Endorsements"
Arijit Singh,"Awarded the National Award for Best Male Playback Singer in 2019, for 'Binte Dil' from Padmaavat",71.95,https://www.forbesindia.com/media/celeblist2019/big/026_Arijit Singh.jpg,3,Playback singer,"Arijit Singh has worked on 18 films this year, including Kabir Singh, Andhadhun, Chhichhore and Kalank. Singh started his Bollywood playback career in 2010 and his early hits include 'Phir Le Aaya Dil' and 'Tum Hi Ho'. ,                                 
                              
","Films, Concerts"
Mohanlal,"Drishyam in 2013 became one of the highest grossers of Malayalam cinema, and inspired adaptations in Telugu, Tamil, Kannada and Hindi. Monhanlal was conferred the Padma Bhushan earlier this year",64.5,https://www.forbesindia.com/media/celeblist2019/big/027_Mohanlal1.jpg,2,Actor,"Having won four National Awards as an actor, Mohanlal is known as one of the most effortless onscreen performers, credited with over 350 films. This year alone, the 59-year-old has had five releases, taking his total remuneration to Rs 64.5 crore. While all other films were critically and commercially average, his film Lucifer, which also marked the directorial debut of actor Prithviraj Sukumaran, became one of the biggest hits of the South-Indian film industry this year. Mohanlal was also conferred the Padma Bhushan award earlier this year. ","Films, TV, Endorsements"
Shraddha Kapoor,Back-to-back blockbusters in 2019: Saaho and Chhichhore,8.33,https://www.forbesindia.com/media/celeblist2019/big/028_Shraddha Kapoor.jpg,3,Actor,"From making debut by playing the role of a college girl in Teen Patti, released in 2010, to becoming the face of The Body Shop in India this year, actor Shraddha Kapoor has covered a lot of ground during her nine-year stint in the industry.","Films, Endorsements"
Neha Kakkar,Kakkar's 2016 YouTube video 'Mile Ho Tum–Reprise Version' garnered more than 850 million views on YouTube,25,https://www.forbesindia.com/media/celeblist2019/big/029_Neha Kakkar.jpg,2,Singer,"While Neha Kakkar fell off the Forbes India Celebrity 100 list in 2018, her rank went from 64 in 2017 to 29 in 2019. Kakkar had among the most live shows this year, and sang for hit songs such as Yo Yo Honey Singh's 'Makhna'. Kakkar has one of the highest number of Instagram followers for any Indian musician. On the 2018 and 2019 seasons of Indian Idol, she has cultivated the image of an 'emotional' judge. ,                                
                              
","Films, TV, Endorsements"
Rishabh Pant,"In 2018, Pant scored 114 in the final test at the Oval vs England, thus becoming the first Indian wicketkeeper to score a century in the fourth innings of a Test match",29.19,https://www.forbesindia.com/media/celeblist2019/big/030_Rishabh Pant.jpg,1,Cricketer,"It's been a roller-coaster period for this diminutive but hard-hitting wicket-keeper and batsman. Pant had a busy season with 8 Tests, 12 ODIs plus 17 T20Is in our timeframe. But towards the end of 2019, he had lost his Test place to the first-choice wicket keeper Wriddhiman Saha in the India-Bangladesh series. A risky batting style, erratic wicket-keeping and fans of MS Dhoni make Pant a constant talking point on social media.,                                
                              
","Cricket, Endorsements"
Hardik Pandya,Pandya is only the fifth Indian cricketer to score a 50 and take a five-wicket haul in the same Test match,24.87,https://www.forbesindia.com/media/celeblist2019/big/031_Hardik Pandya.jpg,3,Cricketer,"The cricketer saw a fallout after passing misogynistic comments on Karan Johar's talk show, Koffee with Karan, in Janauray 2019. Along with colleague KL Rahul, Pandya was banned for a couple of matches after the incident, and lost his brand endorsement deal for Gillette Mach3. However, Pandya's team Mumbai Indians won the Indian Premier League this year, and Pandya gave a solid performance as an all-rounder.","Cricket, Endorsements"
Jacqueline Fernandez,Yet to come,9.5,https://www.forbesindia.com/media/celeblist2019/big/032_Jacqueline Fernandez.jpg,3,Actor,"The Sri Lankan actress is known to add glamour to her characters, and has established a niche in comic roles, in movies such as Housefull 2 and Judwaa 2, apart from playing action parts in Race 2 and Kick. In 2019, Fernandez did not have a full-fledged release, but was seen in an item number in blockbuster Saaho. ","Films, Endorsements"
Jasprit Bumrah,"India's highest wicket-taker in the ODI World Cup; bags a Test hat-trick, only the third Indian to do so",23.25,https://www.forbesindia.com/media/celeblist2019/big/033_Jasprit Bumrah.jpg,2,Cricketer,"We could boggle your mind with the numbers that Jasprit Bumrah has ratcheted up through our time period—as 2018's highest wicket-taker, India's highest wicket-taker in the World Cup, the fastest Indian pacer to 50 Test wickets and the third Indian to bag a Test hat-trick--but former West Indian great Andy Roberts sums up this 26-year-old phenomenon best. ""Wish we had him,"" says Roberts, a member of the fearsome Caribbean fast-bowling quartet. While Bumrah played limited cricket in the second half, first due to workload management and then a stress fracture, he would be raring to hit the ground running as he eyes a comeback in January-February. ,                                
                              
","Cricket, Endorsements"
KL Rahul,Among the three Indian cricketers to score centuries across all formats,23.19,https://www.forbesindia.com/media/celeblist2019/big/034_K L Rahul.jpg,3,Cricketer,"KL Rahul began the year on the wrong foot after he was suspended by the BCCI for ""misogynistic"" comments on a television talk show Koffee with Karan. But he managed to salvage his reputation with a good show in the IPL, being the highest scorer among Indians and second overall. The 27-year-old shed his underachiever tag during the ODI World Cup, scoring steadily after his elevation to the top with the injury of Shikhar Dhawan. Rahul will now look to consolidate the momentum in the run-up to the T20 World Cup in Australia later in the year.,                                
                              
","Cricket, Endorsements"
Shikhar Dhawan,Highest run getter for India in the 2015 World Cup,19.11,https://www.forbesindia.com/media/celeblist2019/big/035_Shikhar Dhawan.jpg,3,Cricketer,"On the back of a consistent performance in one-day internationals and the 2019 IPLT20 competition, Dhawan rose 27 ranks to Number 35 on the 2019 Forbes India Celebrity 100 list. This came despite him losing a place in the Test team and slipping one level to the 'A' category with the retainership contract with the BCCI.","Cricket, Endorsements"
Shahid Kapoor,"His highest-grossing films include Kabir Singh and Padmaavat, while he received critical applause for Haider and Udta Punjab",12.75,https://www.forbesindia.com/media/celeblist2019/big/036_Shahid Kapur.jpg,3,Actor,"From a dancer to a sought-after face in the film industry, Shahid Kapoor has risen through the ranks of Bollywood to establish himself as a versatile actor, taking up critically acclaimed projects like Udta Punjab and Haider and delivering commercial successes like Padmaavat and Kabir Singh. Haider bagged five National awards, but Kapoor missed out on the best actor award. ","Films, Endorsements"
Ayushmann Khurrana,Winning the National Award,30.5,https://www.forbesindia.com/media/celeblist2019/big/037_Ayushmann Khurrana.jpg,1,Actor,"Ayushmann Khurrana continues his dream run at the box office. The actor gave two films that collected over Rs 100 crore at the box office in 2019: Dream Girl and Bala. That apart, he was appreciated for pushing the envelope with films like Article 15 and Andhadhun (2018) for which he won a National Award. Khurrana has earnings of Rs 30.5 crore and scores high on the fame quotient as well.,                                
                              
","Films, Endorsements"
Kriti Sanon,Yet to come,8.09,https://www.forbesindia.com/media/celeblist2019/big/038_Kriti Sanon.jpg,1,Actor,"Actor Kriti Sanon has received mixed reviews for her movies and acting, but has managed to deliver commercial hits like Housefull 4 and Raabta. Sanon is also expected to foray into the Tamil movie industry next year. She had four releases this year, including Kalank, Luka Chuppi, Arjun Patiala and Housefull 4. ","Films, Endorsements"
Diljit Dosanjh,His super hit song 'Lak 28 Kudi Da' from his movie 'The Lion of Punjab' topped the 'Asian Download Chart in USA' after its release,36.91,https://www.forbesindia.com/media/celeblist2019/big/039_Diljit Dosanjh.jpg,3,"Singer, Actor, TV presenter","Diljit Dosanjh dabbles in three roles: Singer, actor and television presenter. He shot to fame with hit Punjabi songs, and slowly graduated to acting, first in regional cinema, then in Bollwood films including Udta Punjab, Phillauri and Welcome to New York. In addition to all this he is also a television presenter for shows like Rising Stars in Colours channel. Most of his earnings come from his live concerts. ","Films, Concerts"
Tiger Shroff,"His movie War posted the highest opening day collection for Bollywood films, by grossing Rs 53.35 crore",18.5,https://www.forbesindia.com/media/celeblist2019/big/040_Tiger Shroff.jpg,3,Actor,"Tiger debuted in 2014 with Heropanti, and has established himself with daredevil stunts and the image of an action star. Despite a muted success of Student of the Year 2 this year, Shroff managed to strike gold with War. The actor, ranked 40th on this list, is seen endorsing brands such as Pepsi and Kia Motors. ","Films, Endorsements"
Parineeti Chopra,Chopra was given a special mention at the National Awards for her performance in Ishaqzaade,12.5,https://www.forbesindia.com/media/celeblist2019/big/041_Parineeti Chopra.jpg,3,Actor,"Parineeti Chopra started her career with a bang, but has had a few lukewarm years lately. This year, she had two releases, out of which Kesari's net gross was Rs 151 crore and Jabariya Jodi's was Rs 15 crore. However, she endorses brands such as Medimix, beauty brand Avon, ADEX India, Rangriti and has a big social media following, which helped push her up the ranks. ","Films, Endorsements"
Sonam Kapoor Ahuja,A special mention at the National Film Awards for her performance in Neerja,8.5,https://www.forbesindia.com/media/celeblist2019/big/042_Sonam Kapoor.jpg,3,Actor,"Sonam Kapoor Ahuja had two releases in 2019. The first, Ek Ladki Ko Dekha Toh Aisa Laga dealt with same-sex relationship, while The Zoya Factor was based Anuja Chauhan's 2008 novel of the same name. However, with both the movies underperforming at the box office, Kapoor will be looking to revive her fortunes with Sujoy Ghosh's next movie, where she is reportedly playing a visually impaired character. ","Films, Endorsements"
Disha Patani,Yet to come,5.8,https://www.forbesindia.com/media/celeblist2019/big/043_Disha Patani.jpg,1,Actor,"Disha Patani started her acting career in the Telegu movie Loafer and then forayed into Bollywood with her debut in the hit movie M. S. Dhoni: The Untold Story in 2016, a role for which she won various industry awards. She has also acted beside popular actor Jackie Chan in the Chinese movie Kung Fu Yoga. Patani's big film this year was Baaghi 2, a blockbuster hit that opened her to more serious roles. ","Films, Endorsements"
Prabhas,"Starring in Baahubali, country's highest-grossing film of all time",35,https://www.forbesindia.com/media/celeblist2019/big/044_Prabhas.jpg,2,Actor,"Prabhas's first film after the phenomenal success of the Baahubali saga, Saaho, raked in the second-highest opening day collection for an Indian film at Rs 130 crore. Despite negative reviews, Prabhas's bilingual film, Saaho emerged as the second highest-grossing movie of the year, beaten only by Hrithik Roshan-starrer War. The 40-year-old southern superstar has been in high demand ever since the success of Baahubali, currently the country's highest-grossing film of all time. Yet, the Hyderabad-based actor has been rather selective about his roles, and went without a single release in 2018. ",Films
Ranbir Kapoor,"Sanju, with collections of over Rs 500 crore, is one of the biggest box office successes in the history of Indian cinema",45,https://www.forbesindia.com/media/celeblist2019/big/045_Ranbir Kapoor.jpg,3,Actor,"After the release of the 2018 super hit film Sanju, Ranbir Kapoor has been working on the Karan Johar-produced Brahmastra and Yash Raj Films' Shamsera, both scheduled for release in 2020. Since the success of Sanju, Kapoor has been charging averagely Rs 4 crore to Rs 5 crore per brand for endorsements. He currently endorses over 10 brands including Lays and Tag Heuer and was signed by Coca-Cola as its brand ambassador earlier this year. Though his earnings were pegged at Rs 45 crore, his social media inactivity ranks him at number 45 this year. ","Films, Endorsements"
John Abraham,He has delivered Rs 100-crore grossers for two successive years—Romeo Akbar Walter in 2019 and Satyamev Jayate the year before,28.5,https://www.forbesindia.com/media/celeblist2019/big/046_John Abraham.jpg,3,Actor,"A model turned actor, John Abraham has slowly and gradually cemented his position as a bankable action hero. He had three releases last year—multi-starrer Pagalpanti, Batla House and Romeo Akbar Walter, which grossed Rs 113 crore in global box office collections. An avid biker, Abraham endorses brands such as Yamaha, Garner Men, Castrol and Van Heusen, among others. He has a string of releases lined up for 2020, including Phillum City, director Sanjay Gupta's Mumbai Saga, where he costars with Sanjay Dutt and Suniel Shetty, and Satyamev Jayate 2. ","Films, Endorsements"
Vijay,"His 2017 release, Mersal, raised a political storm, and set the tone for his future releases; he has given successive hits thereafter with Mersal director Atlee",30,https://www.forbesindia.com/media/celeblist2019/big/047_Vijay.jpg,3,Actor,"Often referred to as 'Thalapathy' (commander), the 45-year-old is undoubtedly Tamil Cinemas' most bankable actor, after Rajinikanth. His Diwali release, Bigil, has already raked in over Rs 300 crore worldwide. With a massive fan base, Vijay has been taking steps to foray into Tamil Nadu politics through his movies that are carefully scripted. Vijay's Bigil was his third successive Diwali release and the film worked magic at the screens. Grossing over Rs 300 crore, Bigil was also the top 10 'Most Tweeted about hashtags in India' according to Twitter India, and the most retweeted tweet in the entertainment category, showing his massive fan following across the country. Vijay is soon expected to make an entry into politics, something actors from Tamil Nadu have often dabbled in. ","Films, Endorsements"
Sunny Leone,A web series called Karenjit Kaur –The Untold Story was made on her life,2.5,https://www.forbesindia.com/media/celeblist2019/big/048_Sunny Leone.jpg,1,Actor,"From making her Bollywood debut in Pooja Bhatt's erotic thriller Jism 2 in 2012 to playing a cameo in movies such as Jackpot, Ragini MMS 2, and Tera Intezaar, Leone has made her mark and presence felt in Bollywood. Though she didn't have any major release this year, she did feature in a song in Nawazuddin Siddiqui starrer, 'Motichoor Chaknachoor'. This month, she will be seen playing the role of a paranormal expert in the web series Ragini MMS Returns 2.","Films, Endorsements"
Guru Randhawa,Awarded the Dada Saheb Phalke Excellence Award 2019 for the 'Most Trending Singer 2019',26.4,https://www.forbesindia.com/media/celeblist2019/big/049_Guru Randhawa.jpg,1,Musician,"Punjabi pop artiste Guru Randhawa shot to fame with his song 'High Rated Gabru', which became the fastest non-film Indian song to gather 100 million views. In 2017, he made his Bollywood music debut in the Irrfan Khan starrer 'Hindi Medium', with a remake of his song 'Suit'. Recently, he collaborated with the American rapper, Pitbull, for the song 'Slowly Slowly'. ","Films, Concerts"
Karan Johar,"Lust Stories, which he worked on, was nominated for an International Emmy award",12,https://www.forbesindia.com/media/celeblist2019/big/050_Karan Johar_KJO_7414.jpg,3,"Director, Producer, TV host","Last year, Karan Johar teamed up with Anurag Kashyap, Zoya Akhtar and Dibakar Banerjee for a Netflix anthology called Lust Stories. Ranked 50 on the Forbes India Celebrity 100 list, Johar had a mixed bag in 2019 with Kalank, Kesari and Student of the Year 2, all of which performed under expectations. ","Films, TV"
Ravindra Jadeja,No 1 test bowler and No 1 test all-rounder in 2017,18.41,https://www.forbesindia.com/media/celeblist2019/big/051_Ravindra Jadeja.jpg,3,Cricketer,"Jadeja's BCCI contract went up from grade B to grade A in 2017. He cemented his position, being No 2 in the ICC rankings as an all-round test cricketer. Jadeja's team Chennai Super Kings made it to the finals of Indian Premier League 2019. He also endorses brands including Bajaj almond oil, Stuart Surridge, Brut India and X Men. ","Films, Endorsements"
Ajith Kumar,"After the 1995 film Aasai helped him gain recognition in the Tamil film industry, a role in AR Murgadoss' directorial debut Dheena earned him the title 'Thala' (which literally translates to 'head'), by which he is known even today",40.5,https://www.forbesindia.com/media/celeblist2019/big/Face_280X280.jpg,2,Actor,"For the villain-bashing, punchline-throwing hero image he usually portrays on screen, Ajith Kumar is one of the most low-profile actors in Tamil cinema. Despite having no virtual presence, his popularity on social media continues to be high, thanks to his devoted fan clubs. This possibly explains why the trailer of his release Viswasam—riding on which the 48-year-old has made it to the list at an estimated earning of Rs 40.5 crore—reportedly fetched over 12 million views and 1.2 million likes within 24 hours of its launch on YouTube in December 2018. This year, he also reprised Amitabh Bachchan's role in a Tamil remake of Pink, called Nerkonda Paarvai. ",Films
